frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp
106,data/frames/game_6/frame_000106.jpg,00:03,1ST,40,False,False,False,00:03,1ST,40,0.00,,2025-11-13 21:45:30.755446
107,data/frames/game_6/frame_000107.jpg,00:02,1ST,40,False,False,False,00:02,1ST,40,0.00,,2025-11-13 21:45:30.755446
108,data/frames/game_6/frame_000108.jpg,00:02,1ST,40,False,False,False,00:02,1ST,40,0.00,,2025-11-13 21:45:30.755446
109,data/frames/game_6/frame_000109.jpg,00:01,1ST,39,False,False,False,00:01,1ST,39,0.00,,2025-11-13 21:45:30.755446
110,data/frames/game_6/frame_000110.jpg,00:01,1ST,39,False,False,False,00:01,1ST,39,0.00,,2025-11-13 21:45:30.755446
111,data/frames/game_6/frame_000111.jpg,00:00,1ST,38,False,False,False,00:00,1ST,38,0.00,,2025-11-13 21:45:30.755446
112,data/frames/game_6/frame_000112.jpg,00:00,1ST,38,False,False,False,00:00,1ST,38,0.00,,2025-11-13 21:45:30.755446
113,data/frames/game_6/frame_000113.jpg,00:00,1ST,37,False,False,False,00:00,1ST,37,0.00,,2025-11-13 21:45:30.755446
114,data/frames/game_6/frame_000114.jpg,00:00,1ST,37,False,False,False,00:00,1ST,37,0.00,,2025-11-13 21:45:30.755446
115,data/frames/game_6/frame_000115.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
116,data/frames/game_6/frame_000116.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
117,data/frames/game_6/frame_000117.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
118,data/frames/game_6/frame_000118.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
119,data/frames/game_6/frame_000119.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
120,data/frames/game_6/frame_000120.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
121,data/frames/game_6/frame_000121.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
122,data/frames/game_6/frame_000122.jpg,,1ST,,False,False,False,,1ST,,0.00,,2025-11-13 21:45:30.755446
123,data/frames/game_6/frame_000123.jpg,,1ST,,False,False,False,,1ST,,0.00,,2025-11-13 21:45:30.755446
124,data/frames/game_6/frame_000124.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
125,data/frames/game_6/frame_000125.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
126,data/frames/game_6/frame_000126.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
127,data/frames/game_6/frame_000127.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
128,data/frames/game_6/frame_000128.jpg,,2ND,13,False,True,True,,15,,0.83,"anomaly_correction,forward_countdown",2025-11-13 21:45:30.755446
129,data/frames/game_6/frame_000129.jpg,,2ND,12,False,False,False,,2ND,12,0.00,,2025-11-13 21:45:30.755446
130,data/frames/game_6/frame_000130.jpg,,2ND,12,False,False,False,,2ND,12,0.00,,2025-11-13 21:45:30.755446
131,data/frames/game_6/frame_000131.jpg,,2ND,11,False,False,False,,2ND,11,0.00,,2025-11-13 21:45:30.755446
132,data/frames/game_6/frame_000132.jpg,,2ND,11,False,False,False,,2ND,11,0.00,,2025-11-13 21:45:30.755446
133,data/frames/game_6/frame_000133.jpg,,2ND,10,False,False,False,,2ND,10,0.00,,2025-11-13 21:45:30.755446
134,data/frames/game_6/frame_000134.jpg,,2ND,10,False,False,False,,2ND,10,0.00,,2025-11-13 21:45:30.755446
135,data/frames/game_6/frame_000135.jpg,,2ND,09,False,False,False,,2ND,09,0.00,,2025-11-13 21:45:30.755446
