frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp,expected_game_time,expected_period,expected_play_clock,matched_game_time,matched_period,matched_play_clock
1368,data/frames/game_6/frame_001368.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1369,data/frames/game_6/frame_001369.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1370,data/frames/game_6/frame_001370.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1371,data/frames/game_6/frame_001371.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1372,data/frames/game_6/frame_001372.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1373,data/frames/game_6/frame_001373.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1374,data/frames/game_6/frame_001374.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1375,data/frames/game_6/frame_001375.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1376,data/frames/game_6/frame_001376.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1377,data/frames/game_6/frame_001377.jpg,11:04,2ND,25.0,False,False,False,11:04,2ND,25.0,0.0,,45:30.8,11:04,2ND,25.0,False,False,False
1378,data/frames/game_6/frame_001378.jpg,11:04,2ND,24.0,False,False,False,11:04,2ND,24.0,0.0,,45:30.8,11:04,2ND,24.0,False,False,False
1379,data/frames/game_6/frame_001379.jpg,11:04,2ND,24.0,False,False,False,11:04,2ND,24.0,0.0,,45:30.8,11:04,2ND,24.0,False,False,False
1380,data/frames/game_6/frame_001380.jpg,11:04,2ND,23.0,False,False,False,11:04,2ND,23.0,0.0,,45:30.8,11:04,2ND,23.0,False,False,False
1381,data/frames/game_6/frame_001381.jpg,11:04,2ND,23.0,False,False,False,11:04,2ND,23.0,0.0,,45:30.8,11:04,2ND,23.0,False,False,False
1382,data/frames/game_6/frame_001382.jpg,11:04,2ND,22.0,False,False,False,11:04,2ND,22.0,0.0,,45:30.8,11:04,2ND,22.0,False,False,False
1383,data/frames/game_6/frame_001383.jpg,11:04,2ND,22.0,False,False,False,11:04,2ND,22.0,0.0,,45:30.8,11:04,2ND,22.0,False,False,False
1384,data/frames/game_6/frame_001384.jpg,11:04,2ND,21.0,False,False,False,11:04,2ND,21.0,0.0,,45:30.8,11:04,2ND,21.0,False,False,False
1385,data/frames/game_6/frame_001385.jpg,11:04,2ND,21.0,False,False,False,11:04,2ND,21.0,0.0,,45:30.8,11:04,2ND,21.0,False,False,False
1386,data/frames/game_6/frame_001386.jpg,11:04,2ND,20.0,False,False,False,11:04,2ND,20.0,0.0,,45:30.8,11:04,2ND,20.0,False,False,False
1387,data/frames/game_6/frame_001387.jpg,11:04,2ND,20.0,False,False,False,11:04,2ND,20.0,0.0,,45:30.8,11:04,2ND,20.0,False,False,False
